sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,44,,良好,1.3,0.17,51.3,44.5,16,17,3.2,4,0.8,2,96,"2022/07/26 15:00:00",0.2,13,23,1,121.760056,25.129167,1
汐止,新北市,52,細懸浮微粒,普通,1.6,0.18,61.8,50.3,25,15,8,8.8,0.7,2,12,"2022/07/26 15:00:00",0.3,16,26,1,121.6423,25.067131,2
萬里,新北市,47,,良好,1.1,0.15,,47.2,21,,3,3.7,0.7,,,"2022/07/26 15:00:00",0.2,14,21,1,121.689881,25.179667,3
新店,新北市,46,,良好,0.5,0.27,51.6,46,23,,16.2,17.9,1.7,0.7,269,"2022/07/26 15:00:00",0.2,14,27,1,121.537778,24.977222,4
土城,新北市,47,,良好,0.4,0.31,42.5,44.6,38,,20.4,22.1,1.7,1.1,165,"2022/07/26 15:00:00",0.2,14,36,1,121.451861,24.982528,5
板橋,新北市,44,,良好,0,0.38,41.9,40.8,25,15,21.8,24.5,2.6,1,132,"2022/07/26 15:00:00",0.3,13,26,1,121.458667,25.012972,6
新莊,新北市,53,細懸浮微粒,普通,1.3,0.21,43.7,40.9,37,18,11.8,13.2,1.3,2.8,11,"2022/07/26 15:00:00",0.2,16,33,5,121.4325,25.037972,7
菜寮,新北市,56,細懸浮微粒,普通,1.2,0.19,46.2,39.3,22,18,8.8,10,1.1,2.8,291,"2022/07/26 15:00:00",0.3,17,24,1,121.481028,25.06895,8
林口,新北市,44,,良好,,0.11,44.8,38.6,17,,,,,2.3,343,"2022/07/26 15:00:00",0.1,13,18,1,121.376869,25.077197,9
淡水,新北市,37,,良好,0.5,0.1,,,12,11,1.7,2.7,1,2.2,310,"2022/07/26 15:00:00",0.1,11,16,1,121.449239,25.1645,10
士林,臺北市,53,細懸浮微粒,普通,1.1,0.19,39.2,37.4,33,20,13,15.2,2.2,0.8,306,"2022/07/26 15:00:00",0.2,16,32,1,121.515389,25.105417,11
中山,臺北市,47,,良好,1,0.28,48.8,37.9,30,17,11.3,13.2,1.8,2.3,350,"2022/07/26 15:00:00",0.4,14,28,1,121.526528,25.062361,12
萬華,臺北市,49,,良好,2.1,0.35,43.6,38.3,26,17,15.7,16.7,1,2.3,22,"2022/07/26 15:00:00",0.4,15,25,1,121.507972,25.046503,13
古亭,臺北市,51,細懸浮微粒,普通,,,52.9,42.8,,,,,,1.4,359,"2022/07/26 15:00:00",0.3,15,28,,121.529556,25.020608,14
松山,臺北市,50,,良好,6.6,0.2,64.4,47.7,37,17,10.3,11.5,1.2,2.3,45,"2022/07/26 15:00:00",0.3,15,35,1,121.578611,25.05,15
大同,臺北市,60,細懸浮微粒,普通,1.3,0.62,34.1,27.6,42,19,19.7,24.6,4.8,-,-,"2022/07/26 15:00:00",1,19,38,1,121.513311,25.0632,16
桃園,桃園市,41,,良好,0.8,0.15,47.6,37.8,20,14,4.9,5.9,0.9,2.1,285,"2022/07/26 15:00:00",0.2,12,21,1,121.30872222,24.98677778,17
大園,桃園市,32,,良好,1.4,0.16,43.2,35,19,5,5,6,0.9,2.8,307,"2022/07/26 15:00:00",0.1,8,22,1,121.201811,25.060344,18
觀音,桃園市,36,,良好,0.8,0.09,37.5,33.8,13,11,3.5,4.8,1.3,3.9,242,"2022/07/26 15:00:00",0.1,11,16,0,121.082761,25.035503,19
平鎮,桃園市,34,,良好,0.5,0.13,43.7,35.2,22,9,5.3,6.5,1.1,1.7,263,"2022/07/26 15:00:00",0.1,10,23,1,121.203986,24.952786,20
龍潭,桃園市,40,,良好,0,0.14,49.4,42.5,22,11,6.3,7.3,1,2.4,244,"2022/07/26 15:00:00",0.2,12,22,0,121.21635,24.863869,21
湖口,新竹縣,33,,良好,1.1,0.08,38.8,32,9,8,1.2,1.7,0.5,3.6,270,"2022/07/26 15:00:00",0.1,10,12,1,121.038653,24.900142,22
竹東,新竹縣,42,,良好,0.4,0.11,44.3,37.3,13,11,3.3,4.2,0.9,1.9,236,"2022/07/26 15:00:00",0.1,13,19,0,121.088903,24.740644,23
新竹,新竹市,31,,良好,0.9,0.14,34.1,28.5,13,9,4.6,5.8,1.1,2.5,234,"2022/07/26 15:00:00",0.1,9,17,0,120.972075,24.805619,24
頭份,苗栗縣,24,,良好,1.3,0.1,32.5,26.4,9,5,2.6,5.5,2.8,3.4,299,"2022/07/26 15:00:00",0.1,4,15,1,120.898572,24.696969,25
苗栗,苗栗縣,29,,良好,1.4,0.07,29.1,29.6,7,6,1.7,2.6,0.9,2.6,225,"2022/07/26 15:00:00",0.1,8,13,1,120.8202,24.565269,26
三義,苗栗縣,41,,良好,0.8,0.12,30.7,32,11,9,2.8,4.2,1.4,2.4,308,"2022/07/26 15:00:00",0.1,12,19,0,120.758833,24.382942,27
豐原,臺中市,47,,良好,0.9,0.14,32.9,30,22,11,2.6,3.8,1.2,2.3,294,"2022/07/26 15:00:00",0.1,14,25,0,120.741711,24.256586,28
沙鹿,臺中市,22,,良好,2.9,0.25,27.6,24.4,16,5,4.6,7,2.4,2.3,319,"2022/07/26 15:00:00",0.2,5,18,2,120.568794,24.225628,29
大里,臺中市,32,,良好,1.1,0.1,40.5,35.8,17,5,4,5.2,1.2,3.7,275,"2022/07/26 15:00:00",0.1,9,23,2,120.67844444,24.09961111,30
忠明,臺中市,31,,良好,0.5,0.12,35.8,29.3,15,9,6.9,8.2,1.2,2.2,326,"2022/07/26 15:00:00",0.1,9,18,2,120.641092,24.151958,31
西屯,臺中市,29,,良好,0.8,0.09,34.3,31.3,17,5,3.5,5,1.4,2.9,285,"2022/07/26 15:00:00",0.1,8,19,2,120.616917,24.162197,32
彰化,彰化縣,26,,良好,0.8,0.1,27.9,28.1,,3,3,3.7,0.7,2.3,283,"2022/07/26 15:00:00",0.1,7,,0,120.541519,24.066,33
線西,彰化縣,25,,良好,0.8,0.07,29.8,26.7,12,4,2.3,3.6,1.3,2.8,281,"2022/07/26 15:00:00",0,7,12,1,120.469061,24.131672,34
